SampleID	SampleID2
#q2:types	categorical
CSF006-02	CFS006
CSF011-03	CFS011
CSF013-01	CFS013
CSF003-01B	CFS003
CSF004-01	CFS004
CSF002-01B	CFS002
CSF001-01B	CFS001
CSF008-02	CFS008
CSF009-02	CFS009
