SampleID
#q2:types
CD016-07
CD016-05
CD016-04
CD016-02
CD016-06
CD016-01
CD016-03
CFS025
CFS032
CFS024
CFS029
CFS026
CFS035
CFS036
CFS033
CFS034
CFS038
CFS031
CFS037
FS006
FS009
